1,Kadangkala saya terfikir sesuatu yang tidak elok untuk diperkatakan.
2,Saya aktif mengambil bahagian dalam aktiviti kumpulan atau kemasyarakatan.
3,Saya masih boleh bertenang walaupun orang lain sedang bersedih atau terganggu emosinya.
4,Saya mempunyai kehidupan harian yang dipenuhi dengan pelbagai perkara yang menarik minat.
5,Kadangkala saya menjadi terlalu emosi sehingga tidak dapat berfikir atau bertindak secara rasional.
6,Saya cepat memberi respons yang tidak bertimbang rasa dan menyakitkan hati.
7,Saya kerap berasa terasing dan tidak diperlukan.
8,Saya tidak menjalani kehidupan di landasan yang betul.
9,Saya boleh menyatakan perasaan kasih sayang tanpa berasa malu.
10,"Saya berpendapat pertunjukan kebudayaan merupakan satu pembaziran masa, tenaga dan wang."
11,Saya mempunyai pengaruh yang kuat ke atas pemikiran ahli keluarga atau rakan sekerja.
12,Saya seorang pemaaf.
13,Saya suka kepada alam persekolahan.
14,Kadangkala saya ingin meluahkan perasaan dengan memaki hamun.
15,Saya cenderung memilih percutian yang merehatkan berbanding dengan percutian yang banyak melakukan aktiviti berat dan lasak.
16,Saya menghadapi kesukaran menumpukan perhatian semasa membaca atau mengulang kaji.
17,Saya mempunyai kehidupan peribadi yang memuaskan.
18,Saya cenderung menganalisis perasaan dan naluri diri.
19,Saya bebas daripada prasangka perkauman.
20,Saya berasa kehidupan ini tidak bermakna dan mengecewakan.
21,Keluarga saya tidak menyukai pekerjaan yang saya ceburi (atau pekerjaan yang bakal saya ceburi).
22,Saya dilihat seorang yang peramah dan senang berkawan.
23,Saya berpendapat tugas pelajar bukan untuk memperkenalkan Malaysia di luar negara.
24,"Dalam aktiviti berkumpulan, saya lebih cenderung menjadi pengikut daripada menjadi pemimpin."
25,Saya boleh bersimpati dan memahami penderitaan orang lain.
26,Saya mendapati sukar untuk berbicara dengan orang yang baru dikenali.
27,Kadangkala saya tidak bercakap benar.
28,Saya lebih suka bersendirian di tempat kerja (di rumah) dan tidak banyak melibatkan diri dengan aktiviti luar.
29,Saya mudah terganggu oleh bunyi bising dan keadaan kelam kabut.
30,Saya menerima layanan yang tidak adil dalam kehidupan.
31,Kadangkala saya dianggap sebagai seorang yang tidak logik.
32,Saya boleh memahami apabila seseorang itu lambat untuk sesuatu temu janji.
33,Saya positif terhadap masa hadapan.
34,Saya berharap boleh menjadi bahagia seperti orang lain.
35,Saya selesa mempamerkan kemesraan terhadap ahli keluarga secara terbuka.
36,Bagi saya kemasukan pendatang tanpa izin di negara ini tidak perlu dibimbangkan kerana mereka sekadar mencari rezeki.
37,Saya mengambil inisiatif merancang aktiviti atau percutian bersama keluarga.
38,Saya berasa belas kasihan terhadap mereka yang lemah dan tidak berdaya.
39,Saya menentang pemberian wang kepada peminta sedekah.
40,Saya tidak membaca rencana pengarang dalam akhbar setiap hari.
41,Saya berasa gembira apabila melibatkan diri dengan aktiviti sosial.
42,Saya biasanya kelihatan tenang.
43,Ada kalanya saya sangat mahu meninggalkan (lari dari) rumah.
44,Saya hanya membuat rumusan selepas meneliti semua perspektif tentang sesuatu perkara atau persoalan.
45,Ada individu mengatakan bahawa saya terlalu suka mengarah atau tidak bertimbang rasa.
46,"Saya mempunyai ketakutan yang amat sangat (fobia) terhadap sesuatu objek, tempat atau situasi tertentu."
47,Saya mudah berasa sedih dalam pertikaian atau perdebatan.
48,Saya sukar meluahkan perasaan dengan kata-kata.
49,Saya berasa bangga sekiranya akhbar di luar negara melaporkan berita positif tentang Malaysia.
50,Saya akan cuba memelihara keharmonian walau dengan apa cara sekalipun.
51,Saya prihatin terhadap isu masyarakat seperti kemiskinan dan pengangguran walaupun tiada kaitan dengan diri.
52,Saya berharap saya bukan seorang yang pemalu.
53,Kadangkala saya menangguhkan kerja yang sepatutnya saya lakukan pada hari ini ke hari esok.
54,Saya biasanya mengelak daripada melakukan aktiviti yang banyak menggunakan tenaga dan membebankan.
55,Saya berasa tidak selesa apabila memandu (berada) dalam kesesakan jalan raya.
56,Tiada sesiapa pun yang memahami saya.
57,Kadangkala saya mempunyai perasaan tidak selesa seperti sedang diperhatikan atau menjadi bahan percakapan orang lain.
58,Saya cenderung membantu daripada mengkritik apabila mengemukakan maklum balas.
59,Kadangkala saya berasa putus harapan apabila tiada kemajuan atau pencapaian dalam kehidupan.
60,Pada hari ini saya berasa tidak mudah berputus asa terhadap sesuatu perkara.
61,Saya seorang pendiam.
62,"Saya berpendapat kegagalan ada di mana-mana dan sekiranya pelajar gagal dalam pengajian, soal ganti rugi tidak timbul."
63,Saya suka bersaing dalam semua perkara.
64,Saya prihatin terhadap perasaan dan keperluan ahli keluarga yang sakit.
65,Keluarga saya kurang memberikan kasih sayang berbanding dengan orang lain.
66,Saya cepat marah apabila tidak sihat.
67,Saya terus melaksanakan sesuatu aktiviti supaya tidak membazirkan masa.
68,Saya mudah berasa gembira berbanding orang lain.
69,Saya mendapati sukar untuk memberi tumpuan kepada sesuatu tugas.
