Saya melihat diri sebagai seorang yang ....,,,,,,,,,,
(1).,sering berasa tidak berupaya menguruskan masalah yang dihadapi dan memerlukan bantuan orang lain untuk menyelesaikannya,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(2).,tidak bersedia menerima tanggungjawab apabila terlalu banyak perkara yang remeh temeh perlu diselesaikan,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(3).,berusaha sedaya upaya melaksanakan tugas dengan jayanya,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(4).,sukar untuk mendekati orang lain,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(5).,jarang mencabar pendapat orang lain dan lebih suka membiarkan mereka membuat keputusan,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(6).,ada kalanya mudah hilang kawalan diri apabila mengalami situasi yang tertekan,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(7).,cenderung untuk tidak mengambil endah terhadap tugas yang perlu dilakukan apabila situasi menjadi terlalu sukar,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(8).,jarang memberikan perhatian yang sepenuhnya kepada butiran yang terperinci,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(9).,tidak bersedia untuk mengambil tanggungjawab sebagai ketua dalam kumpulan,,,,,,,,,
,,,,,,,,,,
