1,Kadangkala saya terfikir sesuatu yang tidak elok untuk diperkatakan.,,,
,,YA,,TIDAK
2,Kadangkala saya menjadi terlalu emosi sehingga tidak dapat berfikir atau bertindak secara rasional.,,,
,,YA,,TIDAK
3,Saya masih boleh bertenang walaupun orang lain sedang bersedih atau terganggu emosinya.,,,
,,YA,,TIDAK
4,Saya kerap berasa terasing dan tidak diperlukan.,,,
,,YA,,TIDAK
5,Saya boleh menyatakan perasaan kasih sayang tanpa berasa malu.,,,
,,YA,,TIDAK
6,Saya aktif mengambil bahagian dalam aktiviti kumpulan atau kemasyarakatan.,,,
,,YA,,TIDAK
7,Saya mempunyai pengaruh yang kuat ke atas pemikiran ahli keluarga atau rakan sekerja.,,,
,,YA,,TIDAK
8,Saya cepat memberi respons yang tidak bertimbang rasa dan menyakitkan hati.,,,
,,YA,,TIDAK
9,Saya mempunyai banyak perancangan masa depan yang tidak dilaksanakan kerana ia tidak realistik.,,,
,,YA,,TIDAK
10,"Apabila berada dalam situasi krisis, saya boleh bertenang dan memberi fokus untuk mengambil tindakan yang bersesuaian.",,,
,,YA,,TIDAK
11,Kadangkala saya ingin meluahkan perasaan dengan memaki hamun.,,,
,,YA,,TIDAK
12,Saya cenderung menganalisis perasaan dan naluri diri sendiri.,,,
,,YA,,TIDAK
13,Saya menghadapi kesukaran menumpukan perhatian semasa membaca atau mengulang kaji.,,,
,,YA,,TIDAK
14,Saya berasa kehidupan ini tidak bermakna dan mengecewakan.,,,
,,YA,,TIDAK
15,Saya dianggap seorang yang peramah dan senang berkawan.,,,
,,YA,,TIDAK
16,Saya cenderung memilih percutian yang merehatkan berbanding dengan percutian yang banyak melakukan aktiviti berat dan lasak.,,,
,,YA,,TIDAK
17,"Dalam aktiviti berkumpulan, saya lebih cenderung menjadi pengikut daripada menjadi pemimpin.",,,
,,YA,,TIDAK
18,Saya bebas daripada prasangka perkauman.,,,
,,YA,,TIDAK
19,Saya adalah seorang yang teratur dan gemar melakukan sesuatu mengikut jadual.,,,
,,YA,,TIDAK
20,Saya melihat kesukaran yang dihadapi bersifat sementara dan akan cuba mengatasinya sebaik mungkin.,,,
,,YA,,TIDAK
21,Kadangkala saya tidak bercakap benar.,,,
,,YA,,TIDAK
22,Kadangkala saya dianggap sebagai seorang yang tidak logik.,,,
,,YA,,TIDAK
23,Saya mudah terganggu oleh bunyi bising dan keadaan kelam kabut.,,,
,,YA,,TIDAK
24,Saya positif terhadap masa hadapan.,,,
,,YA,,TIDAK
25,Saya selesa mempamerkan kemesraan terhadap ahli keluarga secara terbuka.,,,
,,YA,,TIDAK
26,Saya lebih suka bersendirian di tempat kerja dan tidak banyak melibatkan diri dengan aktiviti luar.,,,
,,YA,,TIDAK
27,Saya mengambil inisiatif merancang aktiviti atau percutian bersama keluarga.,,,
,,YA,,TIDAK
28,Saya boleh memahami apabila seseorang itu lambat untuk sesuatu temu janji.,,,
,,YA,,TIDAK
29,Saya lebih suka mengikut perancangan daripada bertindak secara spontan.,,,
,,YA,,TIDAK
30,Saya boleh bertolak ansur terhadap situasi atau perkara yang mempunyai tahap kesamaran dan ketidakpastian yang tinggi.,,,
,,YA,,TIDAK
31,Saya tidak membaca rencana pengarang dalam akhbar setiap hari.,,,
,,YA,,TIDAK
32,Saya hanya membuat rumusan selepas meneliti semua perspektif tentang sesuatu perkara atau persoalan.,,,
,,YA,,TIDAK
33,Saya biasanya kelihatan tenang.,,,
,,YA,,TIDAK
34,"Saya mempunyai ketakutan yang amat sangat (fobia) terhadap sesuatu objek, tempat atau situasi tertentu.",,,
,,YA,,TIDAK
35,Saya sukar meluahkan perasaan dengan kata-kata.,,,
,,YA,,TIDAK
36,Saya berasa gembira apabila melibatkan diri dengan aktiviti sosial.,,,
,,YA,,TIDAK
37,Saya akan cuba memelihara keharmonian walau dengan apa cara sekalipun.,,,
,,YA,,TIDAK
38,Ada individu mengatakan bahawa saya terlalu suka mengarah atau tidak bertimbang rasa.,,,
,,YA,,TIDAK
39,Saya seorang yang amat kemas dan teratur.,,,
,,YA,,TIDAK
40,Saya boleh menyesuaikan diri kepada perubahan yang berlaku dan bangun semula daripada kesukaran yang dihadapi.,,,
,,YA,,TIDAK
41,Kadangkala saya menangguhkan kerja yang sepatutnya saya lakukan pada hari ini ke hari esok.,,,
