Saya melihat diri sebagai seorang yang ....,,,,,,,,,,
(1).,mudah menjadi marah dengan cara bagaimana orang lain melayan saya,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(2).,sering lupa untuk meletakkan sesuatu benda di tempat yang sepatutnya,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(3).,mengelakkan diri dari membincangkan topik yang berbentuk falsafah kerana ia membosankan,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(4).,berasa seronok berada di perjumpaan sosial yang dihadiri oleh ramai orang,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(5).,cuba memaafkan dan melupakan penghinaan yang pernah dilakukan oleh orang lain terhadap saya,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(6).,mudah berasa geram dan marah apabila berurusan dengan orang lain yang mempunyai banyak ragam.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(7).,akan melakukan sesuatu tugas dengan segera walaupun ia tidak menyeronokkan.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(8).,cuba mengelakkan diri dari berurusan dengan orang yang suka membincangkan tentang falsafah atau teori berhubung sesuatu perkara,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(9).,suka kepada aksi dan pengembaraan yang berisiko serta mencabar,,,,,,,,,
,,,,,,,,,,
