Saya melihat diri sebagai seorang yang ....,,,,,,,,,,
(1).,mempunyai kehidupan yang dipenuhi dengan kegagalan.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(2).,tidak mempunyai desakan untuk maju ke hadapan dan memerlukan dorongan untuk berbuat demikian.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(3).,mempunyai masalah untuk menetapkan pendirian diri terhadap apa yang ingin dilakukan.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(4).,suka kepada keteraturan yang ditetapkan dan berpegang teguh kepadanya.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(5).,mudah berasa tawar hati dalam pekerjaan dan aktiviti harian.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(6).,ada kalanya boleh merasakan bahawa orang lain tidak suka kepada saya.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(7).,mempunyai banyak kebolehan berbanding dengan kebanyakan orang lain dan saya menyedari hakikat ini.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(8).,mempunyai sikap bersahaja dan melakukan sesuatu perkara mengikut rentak kehidupan sedia ada.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(9).,tidak berasa untuk makan walaupun diri sebenarnya terasa lapar.,,,,,,,,,
,,,,,,,,,,
