Saya melihat diri sebagai seorang yang ....,,,,,,,,,,
(1).,...ada kalanya berasa bimbang berhubung sesuatu perkara yang pada kebiasaannya tidak menganggu fikiran.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(2).,...suka kepada keteraturan dan mengikut jadual yang ditetapkan.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(3).,...jarang menjadi asyik dengan pemikiran atau idea baru.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(4).,...boleh membuatkan orang lain berasa kehadiran mereka dialu-alukan.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(5).,...akan berbuat baik kepada orang lain jika mereka juga berbuat baik kepada saya.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(6).,...sedia melakukan apa yang termampu untuk menceriakan orang lain yang sedang kesedihan.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(7).,...mudah berasa cemas dan tertekan.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(8).,...tidak mudah berasa terganggu dengan keadaan yang berselerakan.,,,,,,,,,
,,,,,,,,,,
,,Sangat Bersetuju,,Bersetuju,,Kadang-Kadang,,Tidak Bersetuju,,Sangat Tidak Bersetuju
,,,,,,,,,,
(9).,...mudah terlupa dengan masa apabila terlalu asyik melakukan sesuatu perkara yang menarik minat.,,,,,,,,,
,,,,,,,,,,
